id,hcal_mask,S,Y,E,tracker_mask,requirements,geometric_per_hour,no_roof_per_hour,concrete_per_hour,half_column_concrete_per_hour,double_column_concrete_per_hour,geometric_se_per_hour,no_roof_se_per_hour,concrete_se_per_hour,half_column_concrete_se_per_hour,double_column_concrete_se_per_hour,mean_column_g_cm2,mean_zenith_deg
838,6,0,0,0,13,H_M+H_B+T1+T3+T4,151.3794176542756,211.89831690569991,180.43505097502225,182.5199715266182,176.37939695248207,0.020328029437942506,0.028569312547812545,0.024318519579091317,0.024541134380573534,0.02388199838608461,27.931020081384794,10.935450793621987
846,6,1,0,0,13,H_M+H_B+S+T1+T3+T4,2.2203209349658426,3.099058978192001,2.639385638470692,2.6756229815913946,2.5691961320093686,0.0003455009080878303,0.0004820170035293328,0.000410535241940078,0.0004163051816768653,0.0003993685150999952,32.46906896712807,3.3747015551834103
854,6,0,1,0,13,H_M+H_B+Y+T1+T3+T4,21.206884351599836,29.632295689803062,25.234936272528465,25.56235356910076,24.599829940405762,0.0014324894430542776,0.0020005897560997745,0.001703985837430444,0.0017261525313327438,0.001661003202505666,30.880373161319053,6.56301851759775
862,6,1,1,0,13,H_M+H_B+S+Y+T1+T3+T4,1.5731995236238026,2.195327508117533,1.8697635723194785,1.8956409761583504,1.8196513660653746,0.0004721608942220928,0.000659152524525482,0.0005613561721051886,0.0005690392357439232,0.0005464748839130278,32.71934238642679,3.1021327343865908
870,6,0,0,1,13,H_M+H_B+E+T1+T3+T4,31.903001501675874,44.56122216305133,37.948029379356896,38.45484410708005,36.965736807358546,0.0018956362089896073,0.0026489392424221847,0.0022557900713729533,0.002285085469054626,0.002198888489925474,31.634793696137674,4.50917168608968
878,6,1,0,1,13,H_M+H_B+S+E+T1+T3+T4,2.140963025208904,2.9880124612717665,2.5448444147494125,2.5799049012573514,2.4769397441550414,0.00045539032371073206,0.0006357072369770454,0.0005413945413269997,0.0005488189530196916,0.0005270154790531632,32.57635743244459,3.25302712317086
886,6,0,1,1,13,H_M+H_B+Y+E+T1+T3+T4,14.25411509657897,19.898282677112388,16.947084933968483,17.177050941090695,16.50148548661225,0.002731048635109015,0.0038095519987578303,0.0032452602643726174,0.003289537843424535,0.00315946286817408,32.16647743627674,4.801816731935724
894,6,1,1,1,13,H_M+H_B+S+Y+E+T1+T3+T4,1.5502073697818837,2.1631872397267613,1.8423955253482642,1.8679203095059058,1.7929673465863871,0.000451611676261209,0.000630247932766985,0.0005367669984467608,0.000544205698154597,0.0005223629131004308,32.75063949595277,3.0514358838723883
902,6,0,0,0,14,H_M+H_B+T2+T3+T4,157.91126103178087,221.03533718958508,188.2181770602299,190.3897447847147,183.99374767658688,0.02475751278833344,0.03483637733350989,0.029649104762470204,0.02989397241155998,0.029172685283242118,27.907715286610745,11.092362309163544
910,6,1,0,0,14,H_M+H_B+S+T2+T3+T4,2.2203209349658426,3.099058978192001,2.639385638470692,2.6756229815913946,2.5691961320093686,0.0003455009080878303,0.0004820170035293328,0.000410535241940078,0.0004163051816768653,0.0003993685150999952,32.46906896712807,3.3747015551834103
918,6,0,1,0,14,H_M+H_B+Y+T2+T3+T4,22.254752862735913,31.09796789874188,26.483064393741266,26.825623435133043,25.818534660188874,0.0008628512150538919,0.0012032135872529545,0.001024805914087771,0.0010395806720821376,0.0009962537731566634,30.79857943463524,6.722569157140629
926,6,1,1,0,14,H_M+H_B+S+Y+T2+T3+T4,1.5731995236238026,2.195327508117533,1.8697635723194785,1.8956409761583504,1.8196513660653746,0.0004721608942220928,0.000659152524525482,0.0005613561721051886,0.0005690392357439232,0.0005464748839130278,32.71934238642679,3.1021327343865908
934,6,0,0,1,14,H_M+H_B+E+T2+T3+T4,32.25207032585534,45.048263275390354,38.36291537176798,38.875331844126514,37.369764151428164,0.004086484139351581,0.00571004255832125,0.004862530681807886,0.004926127148347867,0.004739247183517289,31.64106246511133,4.553273162748178
942,6,1,0,1,14,H_M+H_B+S+E+T2+T3+T4,2.140963025208904,2.9880124612717665,2.5448444147494125,2.5799049012573514,2.4769397441550414,0.00045539032371073206,0.0006357072369770454,0.0005413945413269997,0.0005488189530196916,0.0005270154790531632,32.57635743244459,3.25302712317086
950,6,0,1,1,14,H_M+H_B+Y+E+T2+T3+T4,14.60597720331299,20.389414950040994,17.365407713084196,17.601005637345967,16.908892309968838,0.0021698624316784,0.003029602788097258,0.0025802806484134825,0.00261486324964936,0.0025132594561455062,32.16315068468866,4.8473844565048845
958,6,1,1,1,14,H_M+H_B+S+Y+E+T2+T3+T4,1.5502073697818837,2.1631872397267613,1.8423955253482642,1.8679203095059058,1.7929673465863871,0.000451611676261209,0.000630247932766985,0.0005367669984467608,0.000544205698154597,0.0005223629131004308,32.75063949595277,3.0514358838723883
966,6,0,0,0,15,H_M+H_B+T1+T2+T3+T4,148.6422936348905,208.06816252853392,177.17352251130126,179.21996332305366,173.19268372660065,0.014131694208652127,0.019964968285256613,0.01697741455952154,0.017098041781970278,0.016739050064472814,27.921730885942665,10.949630153169412
974,6,1,0,0,15,H_M+H_B+S+T1+T2+T3+T4,2.2203209349658426,3.099058978192001,2.639385638470692,2.6756229815913946,2.5691961320093686,0.0003455009080878303,0.0004820170035293328,0.000410535241940078,0.0004163051816768653,0.0003993685150999952,32.46906896712807,3.3747015551834103
982,6,0,1,0,15,H_M+H_B+Y+T1+T2+T3+T4,20.552842937951713,28.717945425223625,24.45627378167157,24.77394290204392,23.840094583329083,0.0021622489773274133,0.0030195479700557267,0.002571839675928551,0.002605501981265584,0.0025065485106564728,30.90968186601928,6.494687494087284
990,6,1,1,0,15,H_M+H_B+S+Y+T1+T2+T3+T4,1.5731995236238026,2.195327508117533,1.8697635723194785,1.8956409761583504,1.8196513660653746,0.0004721608942220928,0.000659152524525482,0.0005613561721051886,0.0005690392357439232,0.0005464748839130278,32.71934238642679,3.1021327343865908
998,6,0,0,1,15,H_M+H_B+E+T1+T2+T3+T4,30.95803724747608,43.24085729523266,36.8236680781888,37.31567421679482,35.8700854143231,0.0025592501999660983,0.0035780309535767833,0.0030466307411325297,0.003085866875629217,0.0029704807181569997,31.64740589910293,4.496722508836214
1006,6,1,0,1,15,H_M+H_B+S+E+T1+T2+T3+T4,2.140963025208904,2.9880124612717665,2.5448444147494125,2.5799049012573514,2.4769397441550414,0.00045539032371073206,0.0006357072369770454,0.0005413945413269997,0.0005488189530196916,0.0005270154790531632,32.57635743244459,3.25302712317086
1014,6,0,1,1,15,H_M+H_B+Y+E+T1+T2+T3+T4,13.926453674875038,19.44082879010196,16.557468310365632,16.78220922089453,16.121996628291036,0.0033631072603145192,0.004691774116978417,0.003996688350077965,0.004051106970675835,0.0038912367680005687,32.17339251939139,4.768154478435678
