ray,material,entry_mm,length_mm,path
6,Silicon,691.846739782,0.320878806378,World/native_recoil/recoil_l14_sensor_vol_10/recoil_l14_active_sensor
6,Silicon,697.863217402,0.320878806378,World/native_recoil/recoil_l14_sensor_vol_20/recoil_l14_active_sensor
6,Silicon,792.121366775,0.320878806378,World/native_recoil/recoil_l14_sensor_vol_30/recoil_l14_active_sensor
6,Silicon,798.137844395,0.320878806378,World/native_recoil/recoil_l14_sensor_vol_40/recoil_l14_active_sensor
6,Scintillator,231.924189611,20.0549253986,World/hcal_top/hcal_top_layer1_strip6
6,Scintillator,255.359956315,20.0549253986,World/hcal_top/hcal_top_layer2_strip5
6,Aluminum3003,231.422816477,0.501373134966,World/hcal_top/hcal_top_cover_1_placement
6,Aluminum3003,254.85858318,0.501373134966,World/hcal_top/hcal_top_cover_2_placement
6,Scintillator,1196.93224688,20.0549253986,World/hcal_above_ecal/hcal_above_ecal_layer1_strip2
6,Scintillator,1222.40200214,20.0549253986,World/hcal_above_ecal/hcal_above_ecal_layer2_strip4
6,Scintillator,1247.87175739,20.0549253986,World/hcal_above_ecal/hcal_above_ecal_layer3_strip2
6,Scintillator,1273.34151265,20.0549253986,World/hcal_above_ecal/hcal_above_ecal_layer4_strip4
6,Aluminum3003,1196.43087375,0.501373134966,World/hcal_above_ecal/hcal_above_ecal_cover_1_placement
6,Aluminum3003,1221.900629,0.501373134966,World/hcal_above_ecal/hcal_above_ecal_cover_2_placement
